,Feature,Coeff
164,overall_winner_feminino,0.18346030989957895
191,pasture,0.09079484962952472
65,n_companies_PAPER,0.08456090370484672
4,aspect,0.07965576704223995
48,n_companies_BASIC METALLURGY,0.0694262341613363
35,n_companies_ASSOCIATIVE ACTIVITIES,0.055989622143464556
100,n_jobs_BASIC METALLURGY,0.05003567523875918
159,emiss_agropec_full,0.03447478069654921
115,n_jobs_FORESTRY,0.03073441720795593
1,rain1,0.02021639175711371
63,n_companies_FORESTRY,0.017580689118220257
34,n_companies_WHOLESALE,0.016650719704250035
33,n_companies_EQUIPMENT RENTAL,0.013335781445414117
188,savanna,0.01147643130040771
59,n_companies_COMPUTING,0.009437185889727003
148,expen_prom_ani_pro,0.009301021474683502
125,n_jobs_LEATHERS AND FOOTWEAR,0.008431589600277312
78,n_companies_SMOKE,0.007298153971648383
76,n_companies_RESEARCH AND DEVELOPMENT,0.007059819651403487
69,n_companies_CHEMICALS,0.006888020717432239
6,near_roads,0.006376384124875175
143,expen_agri,0.0062883761534094215
32,n_companies_ACCOMODATION AND FOOD,0.00624484939447361
2,elevation,0.005954729150214757
117,n_jobs_PAPER,0.005885231429781548
139,murder_threats,0.005499584096681857
3,slope,0.005295347998868247
120,n_jobs_FISHING AND AQUACULTURE,0.005233190085169414
5,near_mines,0.00514648509895543
30,n_companies_AGRICULTURE,0.005022474571354311
153,illegal_mining,0.004968692807690504
185,winner_votes_proportion,0.00439973094285265
187,forest_formation,0.004203601741858066
53,n_companies_SERVICES FOR COMPANIES,0.004086199614368049
85,n_jobs_EQUIPMENT RENTAL,0.004085271047904623
8,indigenous_homol,0.0034871189405787663
91,n_jobs_CONSTRUCTION,0.003413519173738152
73,n_companies_LEATHERS AND FOOTWEAR,0.0032709925634262934
105,n_jobs_SERVICES FOR COMPANIES,0.0030211576059085807
56,n_companies_GROUND TRANSPORT,0.002968310830902701
203,forest_lag,0.0029599754958255014
55,n_companies_TRANSPORTATION,0.002923903575702326
79,n_companies_PETROLEUM REFINING,0.0028216666829104916
7,near_hidrovia,0.0027700389622249575
102,n_jobs_WOOD PROD,0.0025683409668946404
25,mining_jobs,0.002465646480707821
135,n_companies_TOTAL INDUSTRIAL,0.0024611602626748645
138,n_jobs_TOTAL,0.002431217728336648
142,f_emitted_count,0.0023833640242452996
108,n_jobs_GROUND TRANSPORT,0.0022182891443356958
71,n_companies_REAL ESTATE,0.0020520715145641555
157,emiss_pec_full,0.0019762145217250408
68,n_companies_FISHING AND AQUACULTURE,0.0019038283879751117
134,n_jobs_TOTAL SERVICE,0.0019004460034772485
37,n_companies_FINANCIAL ASSISTANCE,0.001809742984229054
64,n_companies_CLOTHING,0.0017753041108104078
104,n_jobs_HEALTH,0.001763507589625184
163,overall_winner_complete_college,0.001685339146277562
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.0016643841497191339
49,n_companies_MINING,0.0016510565540056878
26,public_jobs,0.0016138014467671443
118,n_jobs_INTERNATIONAL BODIES,0.0016085616494215652
43,n_companies_EDUCATION,0.0015774158386617392
136,n_companies_TOTAL SERVICE,0.0014360675131709817
137,n_companies_TOTAL,0.0013038136614331318
170,overall_winner_technical_job,0.0013030631077509266
111,n_jobs_COMPUTING,0.0012639070809041958
24,ag_jobs,0.0012466959597006253
46,n_companies_CLEANING AND SEWAGE,0.0012269422425613772
17,pib_pc,0.0012134991034694856
82,n_jobs_AGRICULTURE,0.0012015384155579841
92,n_jobs_MAIL AND TELECOM,0.0011363531974928128
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.0010774445654589421
16,populacao,0.0010659597065866516
193,mosaic_ag,0.0010628768404545305
83,n_jobs_FOOD AND DRINKS,0.0010337392214355974
131,n_jobs_PETROLEUM REFINING,0.0010122842893554571
45,n_companies_FINANCES,0.0009834439089363293
54,n_companies_PERSONAL SERVICES,0.0009760745729710538
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0009756854599583691
84,n_jobs_ACCOMODATION AND FOOD,0.0009474151339676966
86,n_jobs_WHOLESALE,0.0009412475760740818
95,n_jobs_EDUCATION,0.0009335630230008191
58,n_companies_RETAIL,0.000926960631295552
186,vote_participation_proportion,0.0009070360165660736
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.0008699052172218201
101,n_jobs_MINING,0.0008681038733909023
167,overall_winner_health_job,0.0008609221210157636
77,n_companies_AERO TRANSPORT,0.000849044207611536
29,n_companies_PUBLIC ADMIN,0.0008418166898385275
52,n_companies_HEALTH,0.0007856059763091699
15,fed_election_year,0.0007656722771230061
28,PIB,0.0007596670051780149
81,n_jobs_PUBLIC ADMIN,0.000747351243787611
166,overall_winner_public_service_job,0.0007433038360799619
113,n_jobs_METALLIC PRODUCTS,0.0007123529019719807
93,n_jobs_CULTURE AND SPORT,0.0006887145280268232
144,expen_env_man,0.0006330396579093978
20,copper,0.0006166884290008359
94,n_jobs_EDITING AND PRINTING,0.0006115291319385631
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.0006106089527461405
70,n_companies_WATER-BASED TRANSPORTATION,0.0006077887332886938
89,n_jobs_FINANCIAL ASSISTANCE,0.0006010644580538874
38,n_companies_TRADE REP VEHICLES,0.0005838349536817937
61,n_companies_METALLIC PRODUCTS,0.0005548542502543011
50,n_companies_WOOD PROD,0.0005522641136091864
96,n_jobs_ELECTRICITY AND GAS,0.0005188813304202503
23,beef_price,0.0005174342816925232
42,n_companies_EDITING AND PRINTING,0.0005127949730938054
129,n_jobs_AERO TRANSPORT,0.00047798618758427544
9,mun_election_year,0.0004731295795836134
178,overall_winner_partido_other,0.00044679826783547037
40,n_companies_MAIL AND TELECOM,0.00043032019342293315
107,n_jobs_TRANSPORTATION,0.00042959671182378993
110,n_jobs_RETAIL,0.0004203414349951582
155,illegal_industry,0.0004106936260557646
158,emiss_agr_full,0.0003793721942832112
