,Feature,Coeff
6,near_roads,0.12792594244931896
38,n_companies_TRADE REP VEHICLES,0.12614948916561072
124,n_jobs_RECYCLING,0.12401720279866658
72,n_companies_RECYCLING,0.1230836831949061
17,pib_pc,0.084748713614468
40,n_companies_MAIL AND TELECOM,0.054587501086282665
68,n_companies_FISHING AND AQUACULTURE,0.03530604369555756
102,n_jobs_WOOD PROD,0.03060296092674155
63,n_companies_FORESTRY,0.029930993486238042
167,overall_winner_health_job,0.027225885597497997
24,ag_jobs,0.020215982040093557
92,n_jobs_MAIL AND TELECOM,0.018761650478497694
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.016399228004240735
159,emiss_agropec_full,0.014959816420171732
9,mun_election_year,0.013357944061653287
53,n_companies_SERVICES FOR COMPANIES,0.00983908386580604
32,n_companies_ACCOMODATION AND FOOD,0.005284470141870304
39,n_companies_CONSTRUCTION,0.004862198356953915
133,n_jobs_TOTAL INDUSTRIAL,0.004685105470473284
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.004644371092166383
0,year,0.004515287919662471
185,winner_votes_proportion,0.003992700864052691
111,n_jobs_COMPUTING,0.0035285672859217423
153,illegal_mining,0.003463263077248579
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.0033835945235481412
50,n_companies_WOOD PROD,0.0032436391642670743
196,water,0.003233936090214848
191,pasture,0.002485040578391016
34,n_companies_WHOLESALE,0.0023602129126201045
118,n_jobs_INTERNATIONAL BODIES,0.0023334741512850313
188,savanna,0.0023260303034237013
136,n_companies_TOTAL SERVICE,0.0022505397030748585
179,runnerup_partido_PT,0.002199975683963931
33,n_companies_EQUIPMENT RENTAL,0.002177945875602698
157,emiss_pec_full,0.002149066805172495
20,copper,0.0021030612869680186
193,mosaic_ag,0.002032784158953501
46,n_companies_CLEANING AND SEWAGE,0.0020233172195884713
37,n_companies_FINANCIAL ASSISTANCE,0.001976230201500139
96,n_jobs_ELECTRICITY AND GAS,0.0019495637609703261
84,n_jobs_ACCOMODATION AND FOOD,0.001942834037995977
64,n_companies_CLOTHING,0.0019354447677903043
143,expen_agri,0.0019304547863923784
163,overall_winner_complete_college,0.0018774419519057542
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0017857719018850762
125,n_jobs_LEATHERS AND FOOTWEAR,0.0017522197514641528
91,n_jobs_CONSTRUCTION,0.0016907065540596319
44,n_companies_ELECTRICITY AND GAS,0.0016869798944940983
142,f_emitted_count,0.0016848780467321645
90,n_jobs_TRADE REP VEHICLES,0.0016618455895049803
116,n_jobs_CLOTHING,0.0016576779742645737
85,n_jobs_EQUIPMENT RENTAL,0.0016106185986926374
156,audits,0.001584596824231089
78,n_companies_SMOKE,0.0015762398789862487
158,emiss_agr_full,0.0015514656842633286
58,n_companies_RETAIL,0.0015358606131214729
3,slope,0.0014741902934003754
144,expen_env_man,0.0014652974042798294
22,soy_price,0.0014392783454986323
1,rain1,-0.001420351608867973
104,n_jobs_HEALTH,0.0014141884760893303
183,runnerup_partido_PL,0.0014117169145382474
203,forest_lag,0.0013503057295281738
164,overall_winner_feminino,0.001307234182627607
69,n_companies_CHEMICALS,-0.0012941760258049094
8,indigenous_homol,0.0012607555372287462
35,n_companies_ASSOCIATIVE ACTIVITIES,0.0012330800356084482
67,n_companies_OIL AND GAS,0.0012192797219555671
65,n_companies_PAPER,0.0012163680213364788
5,near_mines,0.001205244658919398
199,other_crop,0.0011824946519818906
112,n_jobs_INSURANCE AND SOCIAL SECURITY,0.0011790859620762712
110,n_jobs_RETAIL,0.001119510468459081
43,n_companies_EDUCATION,0.0011116361087926733
128,n_jobs_RESEARCH AND DEVELOPMENT,0.0010805140114079194
140,assassination,-0.0010787512525724607
181,runnerup_partido_PSDB,0.001071417624925834
25,mining_jobs,0.0010711783545369901
45,n_companies_FINANCES,0.0010435345168969298
120,n_jobs_FISHING AND AQUACULTURE,0.001032310269904697
75,n_companies_TEXTILES,0.0010111076400531138
108,n_jobs_GROUND TRANSPORT,0.0009791715557411868
137,n_companies_TOTAL,0.0009648474976782967
197,soybean,0.0009098752639639658
94,n_jobs_EDITING AND PRINTING,0.0008705139411681641
175,overall_winner_partido_PSDB,0.0008679041331269112
149,expen_prom_veg_pro,0.0008126822015083557
99,n_jobs_MACHINERY,0.0007968140930972757
31,n_companies_FOOD AND DRINKS,0.0007876336845434899
117,n_jobs_PAPER,0.0007418737294100954
83,n_jobs_FOOD AND DRINKS,0.000741750854485424
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.0007405406554681946
23,beef_price,0.0007082508625545935
62,n_companies_DOMESTIC SERVICES,0.0007008308849397656
7,near_hidrovia,0.00070033033186335
134,n_jobs_TOTAL SERVICE,0.0006760045329526636
19,silver,0.0006557048977898079
56,n_companies_GROUND TRANSPORT,0.0006151652627825507
130,n_jobs_SMOKE,0.000558743320790858
27,construction_jobs,0.0005536804261396499
57,n_companies_WATER TREATMENT AND DISTRIBUTION,-0.00055193142898002
52,n_companies_HEALTH,0.0005502595411678434
74,n_companies_RUBBER AND PLASTIC,0.0005187580650784495
169,overall_winner_law_job,0.0005112140482023494
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.0005014616649316056
79,n_companies_PETROLEUM REFINING,0.0004825732540167401
49,n_companies_MINING,0.00047378594496659304
61,n_companies_METALLIC PRODUCTS,0.0004725045392736368
30,n_companies_AGRICULTURE,-0.00044532985522338414
187,forest_formation,0.0004102480191359165
16,populacao,-0.00040387941682608607
160,incumbant,0.0003650274267672484
29,n_companies_PUBLIC ADMIN,0.000347815845285452
177,overall_winner_partido_PL,0.00033156169667960015
127,n_jobs_TEXTILES,0.0003168179623866801
70,n_companies_WATER-BASED TRANSPORTATION,0.0003079013338989302
119,n_jobs_OIL AND GAS,0.00030621624229273297
115,n_jobs_FORESTRY,0.00028776216706211295
42,n_companies_EDITING AND PRINTING,0.00025048055081889145
41,n_companies_CULTURE AND SPORT,-0.00016988066991338184
101,n_jobs_MINING,0.00015888487544186148
47,n_companies_MACHINERY,0.00015471876271794304
73,n_companies_LEATHERS AND FOOTWEAR,0.0001473642542133307
155,illegal_industry,-0.00013787554475501893
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,-0.00011699925384346797
148,expen_prom_ani_pro,-0.00011373121103024014
18,ironore,-0.00010884420150890597
21,gold,-0.0001060462792621482
123,n_jobs_REAL ESTATE,9.423754735877099e-05
4,aspect,8.963595685460654e-05
107,n_jobs_TRANSPORTATION,-8.42157089527228e-05
184,runnerup_partido_other,7.929234696744712e-05
170,overall_winner_technical_job,-7.908850545819083e-05
28,PIB,-7.302358336513377e-05
178,overall_winner_partido_other,-6.863564165524441e-05
180,runnerup_partido_PMDB_MDB,6.215164042781205e-05
126,n_jobs_RUBBER AND PLASTIC,6.025197861698127e-05
97,n_jobs_FINANCES,-5.602602081812765e-05
166,overall_winner_public_service_job,5.165579446659658e-05
122,n_jobs_WATER-BASED TRANSPORTATION,-5.0440848252115045e-05
186,vote_participation_proportion,4.494690467235415e-05
2,elevation,3.335052321552917e-05
55,n_companies_TRANSPORTATION,3.3066473624858664e-05
98,n_jobs_CLEANING AND SEWAGE,3.122967716727021e-05
165,overall_winner_agriculture_job,-2.8930758348485735e-05
15,fed_election_year,-2.5303106031859702e-05
