,Feature,Coeff
102,n_jobs_WOOD PROD,0.14754336555936795
197,soybean,0.14165876598364324
149,expen_prom_veg_pro,0.09867422260923146
58,n_companies_RETAIL,0.0883107387841231
35,n_companies_ASSOCIATIVE ACTIVITIES,0.06365595049474744
50,n_companies_WOOD PROD,0.055093505349681895
191,pasture,0.040699753410213
157,emiss_pec_full,0.03679178869129475
6,near_roads,0.03610271386590173
94,n_jobs_EDITING AND PRINTING,0.02155377883116472
53,n_companies_SERVICES FOR COMPANIES,0.01803688037387472
104,n_jobs_HEALTH,0.01803188831762946
38,n_companies_TRADE REP VEHICLES,0.015322181790634675
48,n_companies_BASIC METALLURGY,0.014337269173640386
47,n_companies_MACHINERY,0.013807154810485358
199,other_crop,0.01365888730430647
159,emiss_agropec_full,0.012138600100447719
73,n_companies_LEATHERS AND FOOTWEAR,0.01143985784370685
28,PIB,0.010216693117430639
52,n_companies_HEALTH,0.009842113293253798
24,ag_jobs,0.008161825148030877
186,vote_participation_proportion,0.008109994089259257
71,n_companies_REAL ESTATE,0.0059311241292229686
108,n_jobs_GROUND TRANSPORT,0.005793337881069229
29,n_companies_PUBLIC ADMIN,0.00491263849078775
93,n_jobs_CULTURE AND SPORT,0.004887709394175092
125,n_jobs_LEATHERS AND FOOTWEAR,0.00475695595902894
37,n_companies_FINANCIAL ASSISTANCE,0.004539281517879387
79,n_companies_PETROLEUM REFINING,0.004366172638758789
115,n_jobs_FORESTRY,0.0037579411713349166
40,n_companies_MAIL AND TELECOM,0.0036635638410972356
2,elevation,0.0035348784670765744
61,n_companies_METALLIC PRODUCTS,0.003527631445035885
137,n_companies_TOTAL,0.0032344446459655913
89,n_jobs_FINANCIAL ASSISTANCE,0.00279939379892788
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.0027468648565194135
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.002741748390984312
16,populacao,0.0026829293921517556
95,n_jobs_EDUCATION,0.0022915203969999806
144,expen_env_man,0.0022527362844882966
185,winner_votes_proportion,0.002190997818881115
134,n_jobs_TOTAL SERVICE,0.00214278249351055
63,n_companies_FORESTRY,0.0021328355473152127
138,n_jobs_TOTAL,0.0019804371935578757
135,n_companies_TOTAL INDUSTRIAL,0.0019113895889909522
4,aspect,0.0018042780886219974
90,n_jobs_TRADE REP VEHICLES,0.0017996312172287284
56,n_companies_GROUND TRANSPORT,0.0017370852533372077
105,n_jobs_SERVICES FOR COMPANIES,0.0016067474578947986
46,n_companies_CLEANING AND SEWAGE,0.0015872252786059706
111,n_jobs_COMPUTING,0.0015812784729622074
148,expen_prom_ani_pro,0.0014518168359154095
136,n_companies_TOTAL SERVICE,0.0013991333142238528
30,n_companies_AGRICULTURE,0.0013459364724416048
113,n_jobs_METALLIC PRODUCTS,0.0011771028277695061
7,near_hidrovia,0.0010783299703283108
121,n_jobs_CHEMICALS,0.0010155094978883477
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0008748183893703874
32,n_companies_ACCOMODATION AND FOOD,0.0008604097665060282
5,near_mines,0.0008193859457232839
106,n_jobs_PERSONAL SERVICES,0.0008162885689710132
34,n_companies_WHOLESALE,0.0007771769718697571
31,n_companies_FOOD AND DRINKS,0.0007764938745530208
142,f_emitted_count,0.0007522324722108591
42,n_companies_EDITING AND PRINTING,0.0007476624767319028
74,n_companies_RUBBER AND PLASTIC,0.0007364565361840368
110,n_jobs_RETAIL,0.000721082264256851
54,n_companies_PERSONAL SERVICES,0.0006677931083957142
45,n_companies_FINANCES,0.0006560384871909044
112,n_jobs_INSURANCE AND SOCIAL SECURITY,0.0005909019256219131
187,forest_formation,0.0005886754564864995
120,n_jobs_FISHING AND AQUACULTURE,0.0005763199522421287
158,emiss_agr_full,0.000564222134633993
203,forest_lag,0.000556882983829452
43,n_companies_EDUCATION,0.0005552505894280077
3,slope,0.0005050843406815709
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.00043503799067923243
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.0004342344654258056
133,n_jobs_TOTAL INDUSTRIAL,0.0004275595639026284
143,expen_agri,0.00041095743357605255
122,n_jobs_WATER-BASED TRANSPORTATION,0.00040119381723213184
49,n_companies_MINING,0.0003445965127639272
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0003348356577096579
22,soy_price,0.0002982887469921267
96,n_jobs_ELECTRICITY AND GAS,0.00029321969054116787
82,n_jobs_AGRICULTURE,0.00028681191169769514
72,n_companies_RECYCLING,0.0002807717867102434
86,n_jobs_WHOLESALE,0.0002593520486238313
156,audits,0.0002565882181816813
41,n_companies_CULTURE AND SPORT,0.0002266075671737793
62,n_companies_DOMESTIC SERVICES,0.00022370199602971544
1,rain1,0.00022008867143989553
128,n_jobs_RESEARCH AND DEVELOPMENT,0.00019044132254904933
123,n_jobs_REAL ESTATE,0.00017361886609939086
139,murder_threats,0.00016925979537775815
188,savanna,0.00014850079563839884
83,n_jobs_FOOD AND DRINKS,0.0001333283087419532
131,n_jobs_PETROLEUM REFINING,0.00013083056300639258
129,n_jobs_AERO TRANSPORT,0.00012572631647253277
196,water,0.0001227891405645198
97,n_jobs_FINANCES,0.00012198009468105126
101,n_jobs_MINING,0.00010955383000374794
23,beef_price,0.00010530116213179864
17,pib_pc,0.00010489653931376841
170,overall_winner_technical_job,9.637397431800925e-05
165,overall_winner_agriculture_job,9.368369624013299e-05
81,n_jobs_PUBLIC ADMIN,7.702647682434322e-05
153,illegal_mining,4.98679207680101e-05
39,n_companies_CONSTRUCTION,4.5989265603683e-05
60,n_companies_INSURANCE AND SOCIAL SECURITY,4.521649803811757e-05
171,overall_winner_professional_job,3.830392578480223e-05
164,overall_winner_feminino,2.1961060891913306e-05
184,runnerup_partido_other,1.4654155922628442e-05
91,n_jobs_CONSTRUCTION,1.442414653618909e-05
78,n_companies_SMOKE,1.4060190764720712e-05
155,illegal_industry,1.0370483194774432e-05
92,n_jobs_MAIL AND TELECOM,9.339502521867329e-06
19,silver,2.530578040903386e-06
33,n_companies_EQUIPMENT RENTAL,7.100105981673038e-07
0,year,3.6920517340752854e-07
26,public_jobs,3.1670401560816905e-07
18,ironore,2.0866389084037542e-07
64,n_companies_CLOTHING,1.5041110865408547e-08
25,mining_jobs,1.0468566629854934e-08
130,n_jobs_SMOKE,0.0
20,copper,0.0
189,mangrove,0.0
107,n_jobs_TRANSPORTATION,0.0
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.0
27,construction_jobs,0.0
183,runnerup_partido_PL,0.0
182,runnerup_partido_DEM,0.0
181,runnerup_partido_PSDB,0.0
180,runnerup_partido_PMDB_MDB,0.0
179,runnerup_partido_PT,0.0
114,n_jobs_DOMESTIC SERVICES,0.0
178,overall_winner_partido_other,0.0
177,overall_winner_partido_PL,0.0
176,overall_winner_partido_DEM,0.0
175,overall_winner_partido_PSDB,0.0
174,overall_winner_partido_PMDB_MDB,0.0
21,gold,0.0
98,n_jobs_CLEANING AND SEWAGE,0.0
173,overall_winner_partido_PT,0.0
8,indigenous_homol,0.0
201,citrus,0.0
200,coffee,0.0
198,rice,0.0
195,mining,0.0
194,urban,0.0
193,mosaic_ag,0.0
192,sugarcane,0.0
9,mun_election_year,0.0
99,n_jobs_MACHINERY,0.0
10,new_forest_code,0.0
11,lula,0.0
12,dilma,0.0
13,temer,0.0
14,bolsonaro,0.0
15,fed_election_year,0.0
190,silvicultura,0.0
116,n_jobs_CLOTHING,0.0
172,overall_winner_mining_job,0.0
132,n_jobs_,0.0
151,expen_agr_defense,0.0
65,n_companies_PAPER,0.0
66,n_companies_INTERNATIONAL BODIES,0.0
67,n_companies_OIL AND GAS,0.0
68,n_companies_FISHING AND AQUACULTURE,0.0
69,n_companies_CHEMICALS,0.0
70,n_companies_WATER-BASED TRANSPORTATION,0.0
147,expen_petrol,0.0
146,expen_mining,0.0
145,expen_agr_org,0.0
141,assassination_attempt,0.0
75,n_companies_TEXTILES,0.0
76,n_companies_RESEARCH AND DEVELOPMENT,0.0
