,Feature,Coeff
203,forest_lag,0.5054257504378742
187,forest_formation,0.397911399168799
191,pasture,0.07554268463595705
159,emiss_agropec_full,0.009503156367668616
199,other_crop,0.0076273020939577295
188,savanna,0.0014057443629337607
193,mosaic_ag,0.0008825540165215841
2,elevation,0.0002471547139593999
50,n_companies_WOOD PROD,0.00014767351538310934
190,silvicultura,0.000135465757805846
196,water,0.00013128237803143922
6,near_roads,0.00012528712505866538
102,n_jobs_WOOD PROD,0.00010032265890740269
51,n_companies_NON-METALLIC MINERAL PRODUCTS,9.370610082950703e-05
92,n_jobs_MAIL AND TELECOM,7.658808270212255e-05
133,n_jobs_TOTAL INDUSTRIAL,7.128524981545004e-05
5,near_mines,5.899473231535394e-05
135,n_companies_TOTAL INDUSTRIAL,4.972014724530389e-05
71,n_companies_REAL ESTATE,4.748818273527308e-05
17,pib_pc,4.55292070290878e-05
157,emiss_pec_full,3.790834707795542e-05
158,emiss_agr_full,3.5065411557449894e-05
56,n_companies_GROUND TRANSPORT,3.2284852503983243e-05
185,winner_votes_proportion,3.0058539666801585e-05
90,n_jobs_TRADE REP VEHICLES,2.7690454686681258e-05
28,PIB,2.702971553279962e-05
107,n_jobs_TRANSPORTATION,2.673161753067344e-05
24,ag_jobs,2.4499472528396996e-05
30,n_companies_AGRICULTURE,2.392735184809362e-05
104,n_jobs_HEALTH,1.704410925398348e-05
1,rain1,1.4337192364686509e-05
58,n_companies_RETAIL,1.427610998658605e-05
35,n_companies_ASSOCIATIVE ACTIVITIES,1.4174970156309417e-05
69,n_companies_CHEMICALS,1.0918204993581036e-05
115,n_jobs_FORESTRY,9.680262865767719e-06
106,n_jobs_PERSONAL SERVICES,6.824608416444847e-06
120,n_jobs_FISHING AND AQUACULTURE,6.578331650531754e-06
7,near_hidrovia,4.978811263841013e-06
125,n_jobs_LEATHERS AND FOOTWEAR,4.674855099007376e-06
189,mangrove,2.043858055617582e-06
4,aspect,1.8398743088642815e-07
67,n_companies_OIL AND GAS,0.0
63,n_companies_FORESTRY,0.0
64,n_companies_CLOTHING,0.0
61,n_companies_METALLIC PRODUCTS,0.0
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.0
65,n_companies_PAPER,0.0
66,n_companies_INTERNATIONAL BODIES,0.0
59,n_companies_COMPUTING,0.0
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0
62,n_companies_DOMESTIC SERVICES,0.0
83,n_jobs_FOOD AND DRINKS,0.0
68,n_companies_FISHING AND AQUACULTURE,0.0
70,n_companies_WATER-BASED TRANSPORTATION,0.0
81,n_jobs_PUBLIC ADMIN,0.0
80,n_companies_,0.0
84,n_jobs_ACCOMODATION AND FOOD,0.0
85,n_jobs_EQUIPMENT RENTAL,0.0
79,n_companies_PETROLEUM REFINING,0.0
78,n_companies_SMOKE,0.0
86,n_jobs_WHOLESALE,0.0
76,n_companies_RESEARCH AND DEVELOPMENT,0.0
75,n_companies_TEXTILES,0.0
74,n_companies_RUBBER AND PLASTIC,0.0
73,n_companies_LEATHERS AND FOOTWEAR,0.0
72,n_companies_RECYCLING,0.0
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.0
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.0
82,n_jobs_AGRICULTURE,0.0
77,n_companies_AERO TRANSPORT,0.0
43,n_companies_EDUCATION,0.0
55,n_companies_TRANSPORTATION,0.0
16,populacao,0.0
26,public_jobs,0.0
25,mining_jobs,0.0
23,beef_price,0.0
22,soy_price,0.0
21,gold,0.0
20,copper,0.0
19,silver,0.0
18,ironore,0.0
15,fed_election_year,0.0
54,n_companies_PERSONAL SERVICES,0.0
14,bolsonaro,0.0
13,temer,0.0
12,dilma,0.0
11,lula,0.0
10,new_forest_code,0.0
9,mun_election_year,0.0
8,indigenous_homol,0.0
3,slope,0.0
27,construction_jobs,0.0
29,n_companies_PUBLIC ADMIN,0.0
31,n_companies_FOOD AND DRINKS,0.0
32,n_companies_ACCOMODATION AND FOOD,0.0
53,n_companies_SERVICES FOR COMPANIES,0.0
52,n_companies_HEALTH,0.0
49,n_companies_MINING,0.0
48,n_companies_BASIC METALLURGY,0.0
47,n_companies_MACHINERY,0.0
46,n_companies_CLEANING AND SEWAGE,0.0
45,n_companies_FINANCES,0.0
44,n_companies_ELECTRICITY AND GAS,0.0
42,n_companies_EDITING AND PRINTING,0.0
41,n_companies_CULTURE AND SPORT,0.0
40,n_companies_MAIL AND TELECOM,0.0
39,n_companies_CONSTRUCTION,0.0
38,n_companies_TRADE REP VEHICLES,0.0
37,n_companies_FINANCIAL ASSISTANCE,0.0
