,Feature,Coeff
187,forest_formation,256.94067977111416
203,forest_lag,-255.93032574471417
191,pasture,-0.05646395401307408
28,PIB,-0.052520442491838584
133,n_jobs_TOTAL INDUSTRIAL,0.046659362551662774
159,emiss_agropec_full,-0.04500214712173397
136,n_companies_TOTAL SERVICE,0.03902529775154184
178,overall_winner_partido_other,0.038107440936411455
135,n_companies_TOTAL INDUSTRIAL,-0.0349242545986511
184,runnerup_partido_other,-0.0315994911663621
175,overall_winner_partido_PSDB,0.02849322934547211
174,overall_winner_partido_PMDB_MDB,0.02775792186947697
157,emiss_pec_full,0.024322437275454648
177,overall_winner_partido_PL,0.02324877006545976
183,runnerup_partido_PL,-0.020360998076296863
199,other_crop,-0.01952464298620355
181,runnerup_partido_PSDB,-0.019261476256050028
180,runnerup_partido_PMDB_MDB,-0.018465886153119893
173,overall_winner_partido_PT,0.016896899767543494
2,elevation,-0.015483449783040261
179,runnerup_partido_PT,-0.013430124378835798
8,indigenous_homol,0.012739013075223484
134,n_jobs_TOTAL SERVICE,0.011425349429181822
96,n_jobs_ELECTRICITY AND GAS,0.009492677395772232
197,soybean,0.009347295421702545
170,overall_winner_technical_job,0.00919063857487971
155,illegal_industry,0.008969052514977784
56,n_companies_GROUND TRANSPORT,0.008273323929152756
153,illegal_mining,0.007909100854849981
0,year,0.00783211012097919
164,overall_winner_feminino,0.007765166909357222
16,populacao,-0.007512075356758988
6,near_roads,0.007458274777042758
188,savanna,0.007253449354978635
26,public_jobs,0.006939584663047111
99,n_jobs_MACHINERY,0.006823773231973153
102,n_jobs_WOOD PROD,-0.006677332073870316
45,n_companies_FINANCES,0.00557176117218981
137,n_companies_TOTAL,-0.005533213410100032
24,ag_jobs,-0.0052193217788378985
196,water,-0.005129294125420062
119,n_jobs_OIL AND GAS,0.005088714505373807
124,n_jobs_RECYCLING,-0.005081134394371548
100,n_jobs_BASIC METALLURGY,-0.005019906506516319
37,n_companies_FINANCIAL ASSISTANCE,-0.005001408470682255
108,n_jobs_GROUND TRANSPORT,-0.004995723369112588
166,overall_winner_public_service_job,-0.0049891125116994315
125,n_jobs_LEATHERS AND FOOTWEAR,0.00494397134127863
123,n_jobs_REAL ESTATE,0.004779084477683862
186,vote_participation_proportion,-0.004734791982689253
44,n_companies_ELECTRICITY AND GAS,-0.004720249326963634
50,n_companies_WOOD PROD,-0.004704598237855389
93,n_jobs_CULTURE AND SPORT,0.004676788964470813
1,rain1,0.004628380765631629
71,n_companies_REAL ESTATE,-0.004591651809236066
36,n_companies_AUTOMOBILES AND TRANSPORT,0.004502091078307801
95,n_jobs_EDUCATION,-0.004434613661197886
94,n_jobs_EDITING AND PRINTING,0.004378817626163165
131,n_jobs_PETROLEUM REFINING,-0.004347164514516988
142,f_emitted_count,-0.004219651736489722
73,n_companies_LEATHERS AND FOOTWEAR,-0.004188545971334242
58,n_companies_RETAIL,0.00417452627444295
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.004018185998639018
25,mining_jobs,-0.0039670381193464875
167,overall_winner_health_job,-0.0038683389476785665
83,n_jobs_FOOD AND DRINKS,-0.003815632049704321
86,n_jobs_WHOLESALE,-0.0037987506029715603
81,n_jobs_PUBLIC ADMIN,-0.0037940145530994548
3,slope,0.00378751180779032
72,n_companies_RECYCLING,0.003778734840429573
7,near_hidrovia,0.0037198631844508447
82,n_jobs_AGRICULTURE,0.003717690273404681
116,n_jobs_CLOTHING,0.003691996580681626
69,n_companies_CHEMICALS,-0.0035175272391559155
138,n_jobs_TOTAL,-0.003394505700632634
90,n_jobs_TRADE REP VEHICLES,0.0033503658082649343
63,n_companies_FORESTRY,-0.003323699276924703
144,expen_env_man,-0.0031502343806882813
35,n_companies_ASSOCIATIVE ACTIVITIES,-0.00305024367736768
61,n_companies_METALLIC PRODUCTS,0.003041364534256398
65,n_companies_PAPER,0.0029346681781484986
192,sugarcane,0.0029284606854444476
29,n_companies_PUBLIC ADMIN,0.0029140817189742554
115,n_jobs_FORESTRY,0.0028939181922652173
168,overall_winner_corporate_job,0.002842258305096764
38,n_companies_TRADE REP VEHICLES,-0.002824874964501163
165,overall_winner_agriculture_job,-0.0027550204088863635
32,n_companies_ACCOMODATION AND FOOD,-0.0027445222254827233
193,mosaic_ag,0.0026866320097947006
88,n_jobs_AUTOMOBILES AND TRANSPORT,-0.0026865786047042266
148,expen_prom_ani_pro,-0.0026345714540962468
127,n_jobs_TEXTILES,0.002622898017159642
34,n_companies_WHOLESALE,0.0025652182683379024
140,assassination,-0.0025494050218975565
139,murder_threats,0.002514544779881636
149,expen_prom_veg_pro,-0.0024506206082044063
122,n_jobs_WATER-BASED TRANSPORTATION,0.002443614815876747
91,n_jobs_CONSTRUCTION,0.002431986209002641
114,n_jobs_DOMESTIC SERVICES,-0.0023633055898115095
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,-0.0023147309577906403
68,n_companies_FISHING AND AQUACULTURE,0.0022933645224160635
143,expen_agri,0.0022823870558902754
76,n_companies_RESEARCH AND DEVELOPMENT,-0.002195677938866676
33,n_companies_EQUIPMENT RENTAL,0.0021923132914790067
111,n_jobs_COMPUTING,-0.0021724108151641845
126,n_jobs_RUBBER AND PLASTIC,0.0021608679779712243
121,n_jobs_CHEMICALS,-0.0021157793607872962
43,n_companies_EDUCATION,-0.002100796497724677
59,n_companies_COMPUTING,0.002058152079606245
31,n_companies_FOOD AND DRINKS,0.0020047454635470706
46,n_companies_CLEANING AND SEWAGE,0.0019752717964556313
105,n_jobs_SERVICES FOR COMPANIES,0.0019431074539871963
54,n_companies_PERSONAL SERVICES,-0.0019186501043051097
130,n_jobs_SMOKE,-0.001905243721871113
5,near_mines,0.0018453014761919202
163,overall_winner_complete_college,-0.0018344381250930528
77,n_companies_AERO TRANSPORT,0.0018331933553011664
110,n_jobs_RETAIL,-0.0018007554532381174
47,n_companies_MACHINERY,-0.0017905491183513509
128,n_jobs_RESEARCH AND DEVELOPMENT,0.001784395462105175
53,n_companies_SERVICES FOR COMPANIES,-0.001724910193027752
79,n_companies_PETROLEUM REFINING,0.0017135066016459005
92,n_jobs_MAIL AND TELECOM,-0.0017000550685949214
60,n_companies_INSURANCE AND SOCIAL SECURITY,-0.0015880904885617031
113,n_jobs_METALLIC PRODUCTS,0.0015530956239729638
169,overall_winner_law_job,-0.001502614052244102
190,silvicultura,-0.0014638274482339524
160,incumbant,0.0014287960810242203
104,n_jobs_HEALTH,0.0014278734638369865
118,n_jobs_INTERNATIONAL BODIES,0.0013746487250134195
27,construction_jobs,-0.0013735694528611083
117,n_jobs_PAPER,-0.0013439917415294155
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,-0.0013427865087650777
89,n_jobs_FINANCIAL ASSISTANCE,-0.0013287047315152433
85,n_jobs_EQUIPMENT RENTAL,-0.00132188920095037
74,n_companies_RUBBER AND PLASTIC,0.0011625050247746664
195,mining,-0.0011563776140057394
