,Feature,Coeff
187,forest_formation,0.49056956151109027
203,forest_lag,0.46072370333270013
191,pasture,0.027045131338549678
159,emiss_agropec_full,0.0074542741960625615
188,savanna,0.0031509319086092127
43,n_companies_EDUCATION,0.0011367049611552703
121,n_jobs_CHEMICALS,0.0007537907703530442
35,n_companies_ASSOCIATIVE ACTIVITIES,0.0006794005476307148
102,n_jobs_WOOD PROD,0.0005080096248686958
1,rain1,0.0005002503967130916
54,n_companies_PERSONAL SERVICES,0.0004529348260957218
193,mosaic_ag,0.00041262048081326013
82,n_jobs_AGRICULTURE,0.00040756071293408087
195,mining,0.00039117198060850797
2,elevation,0.000354381443660276
63,n_companies_FORESTRY,0.0003460016230296626
76,n_companies_RESEARCH AND DEVELOPMENT,0.00034302095379461396
30,n_companies_AGRICULTURE,0.00025982822577170193
199,other_crop,0.00025702077537637156
16,populacao,0.0002317165457205485
34,n_companies_WHOLESALE,0.00022380759447016571
73,n_companies_LEATHERS AND FOOTWEAR,0.000222911527822617
68,n_companies_FISHING AND AQUACULTURE,0.0002113978787365004
190,silvicultura,0.00020869263133234297
157,emiss_pec_full,0.0002083107422906643
72,n_companies_RECYCLING,0.00019782528703911445
42,n_companies_EDITING AND PRINTING,0.00018057381675958751
53,n_companies_SERVICES FOR COMPANIES,0.0001627623464735683
6,near_roads,0.0001610417504968282
50,n_companies_WOOD PROD,0.0001435166499439394
55,n_companies_TRANSPORTATION,0.00012376396307464267
18,ironore,0.00011788584709381365
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.00010840130507082232
7,near_hidrovia,0.00010278503248903407
36,n_companies_AUTOMOBILES AND TRANSPORT,0.00010258984744877956
92,n_jobs_MAIL AND TELECOM,0.0001014646311936235
86,n_jobs_WHOLESALE,0.00010106035957199277
158,emiss_agr_full,9.624417115439177e-05
5,near_mines,9.487192505141646e-05
120,n_jobs_FISHING AND AQUACULTURE,7.423274752668102e-05
127,n_jobs_TEXTILES,7.105682467795692e-05
94,n_jobs_EDITING AND PRINTING,6.393383591410666e-05
88,n_jobs_AUTOMOBILES AND TRANSPORT,5.7554819815360575e-05
155,illegal_industry,5.68923092253663e-05
196,water,5.418484065291159e-05
20,copper,5.371308990327566e-05
125,n_jobs_LEATHERS AND FOOTWEAR,5.3404724698083775e-05
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,5.169540172606493e-05
93,n_jobs_CULTURE AND SPORT,4.990785223693393e-05
133,n_jobs_TOTAL INDUSTRIAL,4.899295329595091e-05
70,n_companies_WATER-BASED TRANSPORTATION,3.850434454647932e-05
148,expen_prom_ani_pro,3.7885332802339344e-05
85,n_jobs_EQUIPMENT RENTAL,3.4957671595331286e-05
4,aspect,3.23883156164639e-05
91,n_jobs_CONSTRUCTION,3.231521520487465e-05
29,n_companies_PUBLIC ADMIN,3.066865081923209e-05
81,n_jobs_PUBLIC ADMIN,2.8107739375969653e-05
99,n_jobs_MACHINERY,2.5049539455820584e-05
23,beef_price,2.4056072976407237e-05
47,n_companies_MACHINERY,2.2286984544151483e-05
149,expen_prom_veg_pro,2.191607967940308e-05
110,n_jobs_RETAIL,2.1228578507324077e-05
71,n_companies_REAL ESTATE,1.9508646504390486e-05
107,n_jobs_TRANSPORTATION,1.8851648659217207e-05
21,gold,1.806347649195283e-05
69,n_companies_CHEMICALS,1.7982588137788178e-05
22,soy_price,1.6231797281061725e-05
84,n_jobs_ACCOMODATION AND FOOD,1.4960768189399603e-05
126,n_jobs_RUBBER AND PLASTIC,1.4571368542677424e-05
17,pib_pc,1.3430610325541173e-05
78,n_companies_SMOKE,1.3409977679102356e-05
97,n_jobs_FINANCES,6.564516889369726e-06
39,n_companies_CONSTRUCTION,6.164262913565503e-06
9,mun_election_year,5.94986354098742e-06
108,n_jobs_GROUND TRANSPORT,8.93089810642149e-07
75,n_companies_TEXTILES,5.599971863634642e-07
15,fed_election_year,0.0
3,slope,0.0
83,n_jobs_FOOD AND DRINKS,0.0
8,indigenous_homol,0.0
11,lula,0.0
74,n_companies_RUBBER AND PLASTIC,0.0
80,n_companies_,0.0
14,bolsonaro,0.0
13,temer,0.0
12,dilma,0.0
77,n_companies_AERO TRANSPORT,0.0
19,silver,0.0
10,new_forest_code,0.0
79,n_companies_PETROLEUM REFINING,0.0
40,n_companies_MAIL AND TELECOM,0.0
65,n_companies_PAPER,0.0
67,n_companies_OIL AND GAS,0.0
28,PIB,0.0
41,n_companies_CULTURE AND SPORT,0.0
38,n_companies_TRADE REP VEHICLES,0.0
37,n_companies_FINANCIAL ASSISTANCE,0.0
45,n_companies_FINANCES,0.0
46,n_companies_CLEANING AND SEWAGE,0.0
48,n_companies_BASIC METALLURGY,0.0
49,n_companies_MINING,0.0
33,n_companies_EQUIPMENT RENTAL,0.0
32,n_companies_ACCOMODATION AND FOOD,0.0
52,n_companies_HEALTH,0.0
31,n_companies_FOOD AND DRINKS,0.0
27,construction_jobs,0.0
