,Feature,Coeff
187,forest_formation,0.38281879572961824
203,forest_lag,0.35527058219209035
191,pasture,0.12062912089487157
159,emiss_agropec_full,0.05106649680151361
193,mosaic_ag,0.022972244794340478
96,n_jobs_ELECTRICITY AND GAS,0.004059702777692961
140,assassination,0.0039570598135834035
27,construction_jobs,0.00391696851687889
102,n_jobs_WOOD PROD,0.003495852347921411
190,silvicultura,0.003206758958853093
186,vote_participation_proportion,0.0031298393892483186
199,other_crop,0.0027754400586622054
6,near_roads,0.0024722991568426377
196,water,0.0023989812112634647
59,n_companies_COMPUTING,0.0023770239444345226
37,n_companies_FINANCIAL ASSISTANCE,0.0022583595085359145
144,expen_env_man,0.002197412997423415
110,n_jobs_RETAIL,0.002019988440221176
97,n_jobs_FINANCES,0.0018399787212338655
44,n_companies_ELECTRICITY AND GAS,0.0018266883748757402
70,n_companies_WATER-BASED TRANSPORTATION,0.0015840722196083258
176,overall_winner_partido_DEM,0.0015690786518953287
93,n_jobs_CULTURE AND SPORT,0.001507681656816095
1,rain1,0.0014998690525063181
137,n_companies_TOTAL,0.001459389118697503
91,n_jobs_CONSTRUCTION,0.0014393704872790627
2,elevation,0.0014172861178036761
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0014129610564927331
105,n_jobs_SERVICES FOR COMPANIES,0.0013588838457298806
28,PIB,0.0011339004287640464
40,n_companies_MAIL AND TELECOM,0.0011316815163738112
45,n_companies_FINANCES,0.0010033830454804263
161,term_limited_seat,0.0009981998913737807
122,n_jobs_WATER-BASED TRANSPORTATION,0.0009447787531649513
52,n_companies_HEALTH,0.0008653524689864804
90,n_jobs_TRADE REP VEHICLES,0.0008409984003982235
133,n_jobs_TOTAL INDUSTRIAL,0.0008246019442554499
5,near_mines,0.0007923609422191911
41,n_companies_CULTURE AND SPORT,0.000484553260051775
135,n_companies_TOTAL INDUSTRIAL,0.0004627487179237547
180,runnerup_partido_PMDB_MDB,0.0004478941184561052
188,savanna,0.0004013458759651136
114,n_jobs_DOMESTIC SERVICES,0.00028607987395990657
86,n_jobs_WHOLESALE,0.0002595795794846728
202,other_perennial,0.00020620364054254377
115,n_jobs_FORESTRY,0.0001955337938415829
16,populacao,0.00012273754686365504
63,n_companies_FORESTRY,0.00011391181476898062
17,pib_pc,9.435198557731172e-05
29,n_companies_PUBLIC ADMIN,6.781659341854415e-05
82,n_jobs_AGRICULTURE,5.5770835113271175e-05
49,n_companies_MINING,3.85064425392755e-05
195,mining,3.835157306115207e-05
30,n_companies_AGRICULTURE,3.6781265757539204e-05
106,n_jobs_PERSONAL SERVICES,3.49148337786654e-05
134,n_jobs_TOTAL SERVICE,3.3014707891779096e-05
34,n_companies_WHOLESALE,2.3727489430563777e-05
54,n_companies_PERSONAL SERVICES,2.2568310740439447e-05
32,n_companies_ACCOMODATION AND FOOD,1.80153242317079e-05
47,n_companies_MACHINERY,1.7588968777235907e-05
43,n_companies_EDUCATION,1.6840975607895395e-05
95,n_jobs_EDUCATION,1.238245029113527e-05
53,n_companies_SERVICES FOR COMPANIES,1.1770578310054445e-05
58,n_companies_RETAIL,6.859950256919543e-06
24,ag_jobs,6.303369402787933e-06
51,n_companies_NON-METALLIC MINERAL PRODUCTS,4.15942245175285e-06
84,n_jobs_ACCOMODATION AND FOOD,2.637145970084321e-06
136,n_companies_TOTAL SERVICE,2.3258779239279493e-06
31,n_companies_FOOD AND DRINKS,1.2794496592742127e-06
79,n_companies_PETROLEUM REFINING,0.0
66,n_companies_INTERNATIONAL BODIES,0.0
67,n_companies_OIL AND GAS,0.0
81,n_jobs_PUBLIC ADMIN,0.0
68,n_companies_FISHING AND AQUACULTURE,0.0
9,mun_election_year,0.0
69,n_companies_CHEMICALS,0.0
80,n_companies_,0.0
8,indigenous_homol,0.0
71,n_companies_REAL ESTATE,0.0
73,n_companies_LEATHERS AND FOOTWEAR,0.0
3,slope,0.0
78,n_companies_SMOKE,0.0
4,aspect,0.0
77,n_companies_AERO TRANSPORT,0.0
76,n_companies_RESEARCH AND DEVELOPMENT,0.0
72,n_companies_RECYCLING,0.0
74,n_companies_RUBBER AND PLASTIC,0.0
7,near_hidrovia,0.0
75,n_companies_TEXTILES,0.0
20,copper,0.0
65,n_companies_PAPER,0.0
64,n_companies_CLOTHING,0.0
22,soy_price,0.0
23,beef_price,0.0
25,mining_jobs,0.0
26,public_jobs,0.0
19,silver,0.0
18,ironore,0.0
33,n_companies_EQUIPMENT RENTAL,0.0
35,n_companies_ASSOCIATIVE ACTIVITIES,0.0
15,fed_election_year,0.0
38,n_companies_TRADE REP VEHICLES,0.0
39,n_companies_CONSTRUCTION,0.0
14,bolsonaro,0.0
42,n_companies_EDITING AND PRINTING,0.0
13,temer,0.0
83,n_jobs_FOOD AND DRINKS,0.0
46,n_companies_CLEANING AND SEWAGE,0.0
12,dilma,0.0
48,n_companies_BASIC METALLURGY,0.0
11,lula,0.0
50,n_companies_WOOD PROD,0.0
21,gold,0.0
56,n_companies_GROUND TRANSPORT,0.0
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0
10,new_forest_code,0.0
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.0
61,n_companies_METALLIC PRODUCTS,0.0
62,n_companies_DOMESTIC SERVICES,0.0
55,n_companies_TRANSPORTATION,0.0
101,n_jobs_MINING,0.0
85,n_jobs_EQUIPMENT RENTAL,0.0
171,overall_winner_professional_job,0.0
169,overall_winner_law_job,0.0
168,overall_winner_corporate_job,0.0
167,overall_winner_health_job,0.0
