,Feature,Coeff
203,forest_lag,0.6047621405418792
187,forest_formation,0.21418017694575253
191,pasture,0.10958534101385013
199,other_crop,0.015343058025202626
115,n_jobs_FORESTRY,0.006578190674189824
5,near_mines,0.0047800751803311866
149,expen_prom_veg_pro,0.00434855657723397
6,near_roads,0.0037508965446001546
102,n_jobs_WOOD PROD,0.003645879541018545
190,silvicultura,0.003602521123117307
41,n_companies_CULTURE AND SPORT,0.0028647101399366915
63,n_companies_FORESTRY,0.0027053883000517985
50,n_companies_WOOD PROD,0.0024471758109035307
181,runnerup_partido_PSDB,0.0023711683056719867
4,aspect,0.001727160853062648
97,n_jobs_FINANCES,0.001248188515626606
69,n_companies_CHEMICALS,0.0012372287163944918
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0012262443883287468
193,mosaic_ag,0.0011073879588661371
82,n_jobs_AGRICULTURE,0.0010943425357816036
157,emiss_pec_full,0.0010718236901329798
99,n_jobs_MACHINERY,0.0008074213635341547
17,pib_pc,0.0007659146528179881
1,rain1,0.000759422167338228
72,n_companies_RECYCLING,0.0006834126142568727
28,PIB,0.0005534600609675794
40,n_companies_MAIL AND TELECOM,0.0005428119077375207
106,n_jobs_PERSONAL SERVICES,0.00047511103276491194
61,n_companies_METALLIC PRODUCTS,0.0004688126642161212
46,n_companies_CLEANING AND SEWAGE,0.0004301229926982812
3,slope,0.00036621336394214644
121,n_jobs_CHEMICALS,0.0003635449447958875
186,vote_participation_proportion,0.00035024883946076625
7,near_hidrovia,0.00034869463536877645
83,n_jobs_FOOD AND DRINKS,0.0003464841424274069
24,ag_jobs,0.00027516582158032505
42,n_companies_EDITING AND PRINTING,0.00022929864544848878
84,n_jobs_ACCOMODATION AND FOOD,0.00020503652319765156
9,mun_election_year,0.00018780806188598966
195,mining,0.00018637690127929288
58,n_companies_RETAIL,0.0001776861614085078
45,n_companies_FINANCES,0.00015916617161294486
29,n_companies_PUBLIC ADMIN,0.00015789985786299342
107,n_jobs_TRANSPORTATION,0.00015281715919826947
94,n_jobs_EDITING AND PRINTING,0.00013513025676258828
37,n_companies_FINANCIAL ASSISTANCE,0.00011211521565670531
98,n_jobs_CLEANING AND SEWAGE,8.380535885315792e-05
20,copper,8.355082207672554e-05
159,emiss_agropec_full,8.288446765025648e-05
105,n_jobs_SERVICES FOR COMPANIES,7.981983852908367e-05
30,n_companies_AGRICULTURE,7.808896011953363e-05
108,n_jobs_GROUND TRANSPORT,7.679788453566302e-05
21,gold,7.622538843048253e-05
22,soy_price,7.390129442539878e-05
0,year,7.140712029283853e-05
54,n_companies_PERSONAL SERVICES,7.018623850647462e-05
81,n_jobs_PUBLIC ADMIN,6.760706673381401e-05
139,murder_threats,6.493039503285468e-05
104,n_jobs_HEALTH,5.4037740567581134e-05
36,n_companies_AUTOMOBILES AND TRANSPORT,2.8272038291719455e-05
47,n_companies_MACHINERY,1.8375378626364713e-05
56,n_companies_GROUND TRANSPORT,1.7326477579938778e-05
120,n_jobs_FISHING AND AQUACULTURE,1.6952789478710446e-05
33,n_companies_EQUIPMENT RENTAL,1.4264362270661094e-05
136,n_companies_TOTAL SERVICE,7.4475727811705635e-06
15,fed_election_year,5.415223472615556e-06
57,n_companies_WATER TREATMENT AND DISTRIBUTION,5.293282974575058e-06
133,n_jobs_TOTAL INDUSTRIAL,2.9046302332692946e-06
26,public_jobs,2.6601195365532733e-06
158,emiss_agr_full,1.4008847444761737e-08
173,overall_winner_partido_PT,0.0
174,overall_winner_partido_PMDB_MDB,0.0
66,n_companies_INTERNATIONAL BODIES,0.0
44,n_companies_ELECTRICITY AND GAS,0.0
49,n_companies_MINING,0.0
43,n_companies_EDUCATION,0.0
175,overall_winner_partido_PSDB,0.0
176,overall_winner_partido_DEM,0.0
177,overall_winner_partido_PL,0.0
39,n_companies_CONSTRUCTION,0.0
48,n_companies_BASIC METALLURGY,0.0
52,n_companies_HEALTH,0.0
172,overall_winner_mining_job,0.0
171,overall_winner_professional_job,0.0
65,n_companies_PAPER,0.0
53,n_companies_SERVICES FOR COMPANIES,0.0
38,n_companies_TRADE REP VEHICLES,0.0
55,n_companies_TRANSPORTATION,0.0
170,overall_winner_technical_job,0.0
59,n_companies_COMPUTING,0.0
68,n_companies_FISHING AND AQUACULTURE,0.0
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.0
169,overall_winner_law_job,0.0
67,n_companies_OIL AND GAS,0.0
62,n_companies_DOMESTIC SERVICES,0.0
168,overall_winner_corporate_job,0.0
64,n_companies_CLOTHING,0.0
148,expen_prom_ani_pro,0.0
34,n_companies_WHOLESALE,0.0
178,overall_winner_partido_other,0.0
8,indigenous_homol,0.0
14,bolsonaro,0.0
13,temer,0.0
12,dilma,0.0
11,lula,0.0
10,new_forest_code,0.0
192,sugarcane,0.0
194,urban,0.0
35,n_companies_ASSOCIATIVE ACTIVITIES,0.0
196,water,0.0
197,soybean,0.0
198,rice,0.0
200,coffee,0.0
2,elevation,0.0
201,citrus,0.0
16,populacao,0.0
189,mangrove,0.0
18,ironore,0.0
19,silver,0.0
188,savanna,0.0
185,winner_votes_proportion,0.0
184,runnerup_partido_other,0.0
23,beef_price,0.0
183,runnerup_partido_PL,0.0
25,mining_jobs,0.0
27,construction_jobs,0.0
182,runnerup_partido_DEM,0.0
180,runnerup_partido_PMDB_MDB,0.0
179,runnerup_partido_PT,0.0
31,n_companies_FOOD AND DRINKS,0.0
32,n_companies_ACCOMODATION AND FOOD,0.0
70,n_companies_WATER-BASED TRANSPORTATION,0.0
167,overall_winner_health_job,0.0
74,n_companies_RUBBER AND PLASTIC,0.0
71,n_companies_REAL ESTATE,0.0
118,n_jobs_INTERNATIONAL BODIES,0.0
125,n_jobs_LEATHERS AND FOOTWEAR,0.0
124,n_jobs_RECYCLING,0.0
123,n_jobs_REAL ESTATE,0.0
122,n_jobs_WATER-BASED TRANSPORTATION,0.0
150,expen_other_agr,0.0
119,n_jobs_OIL AND GAS,0.0
117,n_jobs_PAPER,0.0
127,n_jobs_TEXTILES,0.0
116,n_jobs_CLOTHING,0.0
151,expen_agr_defense,0.0
114,n_jobs_DOMESTIC SERVICES,0.0
113,n_jobs_METALLIC PRODUCTS,0.0
112,n_jobs_INSURANCE AND SOCIAL SECURITY,0.0
111,n_jobs_COMPUTING,0.0
126,n_jobs_RUBBER AND PLASTIC,0.0
128,n_jobs_RESEARCH AND DEVELOPMENT,0.0
166,overall_winner_public_service_job,0.0
140,assassination,0.0
146,expen_mining,0.0
145,expen_agr_org,0.0
144,expen_env_man,0.0
143,expen_agri,0.0
142,f_emitted_count,0.0
141,assassination_attempt,0.0
138,n_jobs_TOTAL,0.0
129,n_jobs_AERO TRANSPORT,0.0
137,n_companies_TOTAL,0.0
135,n_companies_TOTAL INDUSTRIAL,0.0
134,n_jobs_TOTAL SERVICE,0.0
132,n_jobs_,0.0
131,n_jobs_PETROLEUM REFINING,0.0
130,n_jobs_SMOKE,0.0
110,n_jobs_RETAIL,0.0
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.0
152,expen_min_fuel,0.0
80,n_companies_,0.0
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.0
86,n_jobs_WHOLESALE,0.0
85,n_jobs_EQUIPMENT RENTAL,0.0
163,overall_winner_complete_college,0.0
164,overall_winner_feminino,0.0
165,overall_winner_agriculture_job,0.0
79,n_companies_PETROLEUM REFINING,0.0
153,illegal_mining,0.0
78,n_companies_SMOKE,0.0
77,n_companies_AERO TRANSPORT,0.0
76,n_companies_RESEARCH AND DEVELOPMENT,0.0
75,n_companies_TEXTILES,0.0
147,expen_petrol,0.0
73,n_companies_LEATHERS AND FOOTWEAR,0.0
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.0
89,n_jobs_FINANCIAL ASSISTANCE,0.0
90,n_jobs_TRADE REP VEHICLES,0.0
91,n_jobs_CONSTRUCTION,0.0
92,n_jobs_MAIL AND TELECOM,0.0
93,n_jobs_CULTURE AND SPORT,0.0
162,special,0.0
95,n_jobs_EDUCATION,0.0
96,n_jobs_ELECTRICITY AND GAS,0.0
161,term_limited_seat,0.0
160,incumbant,0.0
100,n_jobs_BASIC METALLURGY,0.0
202,other_perennial,0.0
156,audits,0.0
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.0
155,illegal_industry,0.0
154,illegal_other,0.0
101,n_jobs_MINING,0.0
