Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação,
Prefeito,MG,CONTAGEM,PSDB,45,ADEMIR LUCAS GOMES,"123,831",Não eleito,40.29,PP / PDT / PTB / PPS / PFL / PAN / PSDC / PRTB / PV / PRP / PSDB,
Prefeito,MG,CONTAGEM,PT,13,MARÍLIA APARECIDA CAMPOS,"183,515",Eleito,59.71,PT / PTN / PL / PSB / PC do B,
Prefeito,MG,JUIZ DE FORA,PTB,14,CARLOS ALBERTO BEJANI,"137,410",Eleito,50.667,PTB / PSL / PL,
Prefeito,MG,JUIZ DE FORA,PSDB,45,CUSTÓDIO ANTÔNIO DE MATTOS,"133,790",Não eleito,49.333,PP / PSC / PFL / PAN / PTC / PSB / PV / PSDB / PT do B,
Prefeito,MG,MONTES CLAROS,PPS,23,ATHOS AVELINO PEREIRA,"87,492",Eleito,52.401,PT / PPS / PSB / PC do B,
Prefeito,MG,MONTES CLAROS,PMDB,15,LUIS TADEU LEITE,"79,473",Não eleito,47.599,PMDB / PTN / PL / PAN / PMN,
Prefeito,MG,UBERLANDIA,PL,22,JOÃO BITTAR JÚNIOR,"133,210",Não eleito,46.546,PL / PFL / PPS / PTN,
Prefeito,MG,UBERLANDIA,PP,11,ODELMO LEÃO CARNEIRO SOBRINHO,"152,981",Eleito,53.454,PP / PDT / PSDC / PMN / PTC / PRP / PSDB,
Prefeito,SC,FLORIANOPOLIS,PSDB,45,DÁRIO ELIAS BERGER,"118,644",Eleito,58.468,PMN / PSDB,
Prefeito,SC,FLORIANOPOLIS,PP,11,FRANCISCO DE ASSIS FILHO,"84,278",Não eleito,41.532,PP / PSL / PSC / PFL / PAN / PRTB,
Prefeito,PA,BELEM,PT,13,ANA JULIA DE VASCONCELOS CAREPA,"300,840",Não eleito,41.718,PT / PL / PSB / PC do B,
Prefeito,PA,BELEM,PTB,14,DUCIOMAR GOMES DA COSTA,"420,280",Eleito,58.282,PP / PTB / PSC / PFL / PRTB / PV / PRP / PSDB / PRONA / PT do B,
Prefeito,AL,MACEIO,PDT,12,JOSÉ CÍCERO SOARES DE ALMEIDA,"189,697",Eleito,56.535,PP / PDT / PTB / PSL / PFL,
