Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação,
Prefeito,MG,AIMORES,PMDB,15,JURANDIR DA ROCHA,"7,521",Eleito,51.153,(sem coligação),
Prefeito,MG,AIMORES,PSDB,45,NILTON FREIRE SAMPAIO,"7,182",Não eleito,48.847,PFL / PSDB,
Prefeito,MG,ALBERTINA,PMDB,15,BENEDITO EDIVINO LUIZ,"1,030",Eleito,57.222,PMDB / PDT / PSD / PSB,
Prefeito,MG,ALBERTINA,PFL,25,JOSÉ ULISSES DINIZ,770,Não eleito,42.778,PFL / PPS,
Prefeito,MG,ABADIA DOS DOURADOS,PMDB,15,ALFREDO PAIVA,"1,627",Não eleito,34.544,(sem coligação),
Prefeito,MG,ABADIA DOS DOURADOS,PTB,14,ISVALDINO DE ASSUNÇÃO,"3,083",Eleito,65.456,PTB / PSDB / PFL,
Prefeito,MG,AGUA BOA,PSD,41,ANTONIO GONÇALVES MARQUES,"2,977",Não eleito,39.847,PSD / PFL,
Prefeito,MG,AGUA BOA,PMDB,15,CARLOS MAGNO FERREIRA,"4,494",Eleito,60.153,PMDB / PT / PTB / PSDB,
Prefeito,MG,ABAETE,PL,22,ANTONIO CARLOS LATALIZA FRANCA,"4,844",Eleito,36.366,(sem coligação),
Prefeito,MG,ABAETE,PMDB,15,ARILZA DA COSTA TAVARES,"3,135",Não eleito,23.536,PMDB / PTB / PPS / PT / PV,
Prefeito,MG,ABAETE,PDT,12,CARLOS AMADOR ALVARES DA SILVA,"1,900",Não eleito,14.264,PDT / PSB / PSD / PMN,
Prefeito,MG,ALEM PARAIBA,PMN,33,FERNANDO LÚCIO FERREIRA DONZELES,"3,318",Não eleito,16.03,PTB / PSC / PMN / PSDB,
Prefeito,MG,ALEM PARAIBA,PSL,17,GÉLCIO ANTÔNIO CUNHA,"1,838",Não eleito,8.88,(sem coligação),
Prefeito,MG,ALEM PARAIBA,PSB,40,MIGUEL BELMIRO DE SOUZA,"6,316",Não eleito,30.514,PTN / PST / PFL / PL / PSB,
Prefeito,MG,ALEM PARAIBA,PT,13,OBERDAN MOREIRA ROCHA,902,Não eleito,4.358,PT / PAN,
Prefeito,MG,ALEM PARAIBA,PPS,23,SÉRGIO ANTONIO RIBEIRO FERREIRA,"8,325",Eleito,40.219,PDT / PMDB / PPS / PC do B / PV,
Prefeito,MG,ABAETE,PFL,25,GILBERTO ALVES SOARES,"3,441",Não eleito,25.833,PPB / PFL / PSDB,
Prefeito,MG,ACAIACA,PT,13,JOÃO DO CARMO MACEDO,"1,289",Eleito,52.958,PT / PPS / PDT,
Prefeito,MG,ACAIACA,PFL,25,JOSÉ CALIXTO MILAGRES,"1,145",Não eleito,47.042,PFL / PPB / PL,
Prefeito,MG,AGUA COMPRIDA,PFL,25,JOSÉ OSCAR SILVA,"1,302",Eleito,55.451,PFL / PMDB,
