,id_candidato_bd,munis
0,1281849,['2305332' '2308708']
1,1051461,['2313559' '2313757']
2,951640,['2103505' '2107902']
4,573905,['3104700' '3146206']
6,1009028,['3505401' '3509254']
8,616451,['2102507' '2112803']
10,1008553,['3140704' '3146255']
34,1797843,['2700508' '2707404']
35,1089096,['1301605' '1302306']
36,1331685,['2903409' '2925303']
37,734754,['2907004' '2910503']
38,1504026,['2914604' '2922052']
41,1736439,['1500503' '1506005']
42,967248,['2205201' '2207777']
43,1243420,['4115200' '4125308']
44,1363894,['3302858' '3303203']
47,41727,['4311601' '4320107']
49,1668638,['4304606' '4313375']
54,37657,['3111804' '3142809']
57,1656977,['2205003' '2211506']
59,1789569,['4100905' '4116505']
61,626449,['2407005' '2407252']
72,55137,['5103437' '5105622']
83,8578,['2507408' '2509370']
87,1582809,['4303905' '4305959']
89,1675662,['1707405' '2102358']
93,803371,['2918001' '2918704']
98,365984,['2702306' '2703759']
99,845745,['2704005' '2709152']
100,1211951,['1300409' '1303601']
101,1274336,['1600303' '1600600']
103,385683,['3135407' '3150406']
104,607227,['2208858' '2911105']
105,88045,['4215059' '4218905']
108,1501764,['1200013' '1200401']
110,1263076,['2703809' '2705002']
112,1797359,['3200201' '3202553']
115,1750053,['3118809' '3162252']
117,377764,['2515302' '2515971']
119,1761730,['4104808' '4124020']
120,1402577,['3301801' '3306206']
122,1339630,['2402204' '2409803']
123,49631,['4316451' '4320503']
124,131415,['4312658' '4321469']
125,1358595,['3506607' '3545001']
128,1755520,['2100600' '2104107']
129,1338375,['2104057' '2111573']
130,269608,['2104099' '2104107']
132,347056,['3123601' '3170701']
134,1297663,['1507151' '1722107']
138,724850,['2705101' '2708501']
144,1016615,['1505551' '1506138']
146,1600471,['2200707' '2205532']
153,384316,['3203601' '3204252']
154,1526064,['2604007' '2608453']
157,194254,['4306924' '4307054']
167,1589002,['3300258' '3300704']
171,1550792,['5002100' '5002803']
173,1184510,['2603207' '2606002']
174,752886,['3302270' '3303609']
177,133421,['4306957' '4310702']
178,36447,['4204608' '4220000']
179,1795135,['4217501' '4219606']
180,1644477,['2914604' '2929255']
184,583347,['1506203' '1507474']
188,1758326,['2402006' '2405207']
190,834840,['3519907' '3542206']
191,1266950,['2917607' '2932903']
207,59553,['5004809' '5005681']
210,320010,['4107207' '4121604']
212,321392,['4200804' '4215687']
228,1263427,['2703106' '2706307']
230,1310060,['2210102' '2210391']
231,297359,['4123204' '4126009']
234,1141869,['3541208' '3544251']
238,258806,['3201605' '3204054' '3204906']
239,1319316,['3105103' '3170602']
242,1713677,['3150901' '3172202']
243,1434765,['2201705' '2202251']
245,198336,['2205458' '2205805']
246,1251632,['2206605' '2209203']
247,1612152,['4102109' '4119657']
252,744758,['3514007' '3546504']
255,1699936,['3202801' '3203320']
272,47029,['2506301' '2509800']
287,1145050,['2100956' '2111300']
312,900322,['2700508' '2708501']
313,517436,['1300029' '1304203']
314,1606371,['1303957' '1304302']
315,1295874,['5200829' '5212808']
320,45170,['3102852' '3112307']
323,52228,['3165206' '3169307']
324,1583368,['3139201' '3165552']
326,72189,['2504009' '2512002']
330,1574738,['2604007' '2608503']
332,111058,['2210631' '2211209']
334,716846,['2406205' '2408300']
336,1426587,['2408201' '2413201']
338,1729642,['4311718' '4318432']
339,136299,['4305108' '4318622']
340,266543,['4209102' '4215000']
341,255262,['4210506' '4217154']
345,359040,['3508108' '3539608']
347,633915,['2702306' '2702702']
348,776971,['2704708' '2706406']
356,1506755,['2903201' '2928901']
357,1684740,['2300150' '2311603']
358,286616,['2301000' '2304285']
359,1185763,['5201405' '5208707']
360,72324,['5209291' '5211206']
363,1751445,['3121605' '3169356']
364,395247,['5003702' '5004700']
367,971373,['2408300' '2516409']
368,1167560,['2202075' '2209377']
369,1375989,['3301850' '3302502']
370,395159,['3302007' '3302601']
371,1795952,['3303500' '3304144']
377,31938,['4205407' '4216602']
381,1508506,['2102606' '2102903']
397,290218,['4215307' '4217808']
402,1506144,['2101251' '2109601']
404,953465,['3127602' '3158508']
405,1407387,['3112505' '3141108']
406,294362,['5107248' '5107941']
407,61462,['1501006' '1506195']
411,1394786,['2401404' '2402204']
427,379797,['1600402' '1600600']
449,341481,['4209409' '4212650']
