Justiça Eleitoral - Eleições Municipais 1996,,,,,,,,,,
Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação,
Prefeito,MG,BELO HORIZONTE,PSDB,45,AMILCAR VIANNA MARTINS FILHO,"248,781",Não eleito,23.497,(sem coligação),
Prefeito,SP,SOROCABA,PFL,25,JOSE ANTONIO CALDINI CRESPO,"92,758",Não eleito,47.593,(sem coligação),
Prefeito,MG,JUIZ DE FORA,PFL,25,CARLOS ALBERTO BEJANI,"89,397",Não eleito,39.921,(sem coligação),
Prefeito,MG,JUIZ DE FORA,PMDB,15,RAYMUNDO TARCISIO DELGADO,"134,540",Eleito,60.079,(sem coligação),
Prefeito,MG,UBERLANDIA,PPB,11,VIRGILIO GALASSI,"110,795",Eleito,50.164,(sem coligação),
Prefeito,MG,UBERLANDIA,PMDB,15,ZAIRE REZENDE,"110,070",Não eleito,49.836,(sem coligação),
Prefeito,SC,FLORIANOPOLIS,PT,13,AFRANIO TADEU BOPPRE,"75,320",Não eleito,46.159,(sem coligação),
Prefeito,SC,FLORIANOPOLIS,PPB,11,ANGELA REGINA HEINZEN AMIN HELOU,"87,856",Eleito,53.841,(sem coligação),
Prefeito,SC,JOINVILLE,PPB,11,ENI JOSE VOLTOLINI,"85,372",Não eleito,43.152,(sem coligação),
Prefeito,SC,JOINVILLE,PMDB,15,LUIZ HENRIQUE DA SILVEIRA,"112,469",Eleito,56.848,(sem coligação),
Prefeito,PA,BELEM,PT,13,EDMILSON BRITO RODRIGUES,"291,184",Eleito,57.473,(sem coligação),
Prefeito,PA,BELEM,PDT,12,RAMIRO JAYME BENTES,"215,465",Não eleito,42.527,(sem coligação),
Prefeito,AL,MACEIO,PT,13,HELOISA HELENA LIMA DE MORAES CARVALHO,"107,776",Não eleito,49.012,(sem coligação),
Prefeito,AL,MACEIO,PSB,40,KATIA BORN RIBEIRO,"112,123",Eleito,50.988,(sem coligação),
Prefeito,AM,MANAUS,PSB,40,SERAFIM FERNANDES CORREA,"232,950",Não eleito,49.727,(sem coligação),
Prefeito,AM,MANAUS,PPB,11,ALFREDO PEREIRA DO NASCIMENTO,"235,508",Eleito,50.273,(sem coligação),
Prefeito,BA,FEIRA DE SANTANA,PPB,11,JOSE FALCAO DA SILVA,"88,076",Eleito,52.148,(sem coligação),
Prefeito,BA,FEIRA DE SANTANA,PFL,25,JOSUE DA SILVA MELLO,"80,819",Não eleito,47.852,(sem coligação),
Prefeito,GO,GOIANIA,PMDB,15,LUIZ JOSE BITTENCOURT,"197,029",Não eleito,44.29,(sem coligação),
Prefeito,GO,GOIANIA,PSDB,45,NION ALBERNAZ,"247,833",Eleito,55.71,(sem coligação),
Prefeito,MA,SAO LUIS,PDT,12,JACKSON KEPLER LAGO,"169,015",Eleito,56.838,(sem coligação),
Prefeito,MA,SAO LUIS,PPB,11,JOAO CASTELO RIBEIRO GONCALVES,"128,347",Não eleito,43.162,(sem coligação),
Prefeito,MS,CAMPO GRANDE,PMDB,15,ANDRE PUCCINELLI,"131,124",Eleito,50.078,(sem coligação),
Prefeito,MS,CAMPO GRANDE,PT,13,JOSE ORCIRIO MIRANDA DOS SANTOS,"130,713",Não eleito,49.922,(sem coligação),
Prefeito,PB,JOAO PESSOA,PDT,12,ANTONIA LUCIA NAVARRO BRAGA,"93,494",Não eleito,44.642,(sem coligação),
Prefeito,PB,JOAO PESSOA,PMDB,15,CICERO DE LUCENA FILHO,"115,937",Eleito,55.358,(sem coligação),
Prefeito,PE,JABOATAO,PPB,11,NEWTON DEMERY CARNEIRO,"110,235",Eleito,56.492,(sem coligação),
Prefeito,PE,JABOATAO,PSDB,45,ULISSES TENORIO DE ALBUQUERQUE NETO,"84,898",Não eleito,43.508,(sem coligação),
Prefeito,PI,TERESINA,PSDB,45,FIRMINO DA SILVEIRA SOARES FILHO,"127,686",Eleito,53.297,(sem coligação),
Prefeito,PI,TERESINA,PMDB,15,ALBERTO TAVARES SILVA,"111,888",Não eleito,46.703,(sem coligação),
Prefeito,PR,LONDRINA,PDT,12,ANTONIO CASEMIRO BELINATI,"105,988",Eleito,52.738,(sem coligação),
Prefeito,PR,LONDRINA,PSDB,45,LUIZ CARLOS JORGE HAULY,"94,984",Não eleito,47.262,(sem coligação),
Prefeito,RJ,DUQUE DE CAXIAS,PPB,11,HYDEKEL MENEZES FREITAS LIMA,"142,309",Não eleito,42.092,(sem coligação),
Prefeito,RJ,DUQUE DE CAXIAS,PSDB,45,JOSE CAMILO ZITO DOS SANTOS FILHO,"195,778",Eleito,57.908,(sem coligação),
Prefeito,RJ,RIO DE JANEIRO,PFL,25,LUIZ PAULO FERNANDEZ CONDE,"1,735,415",Eleito,62.17,(sem coligação),
Prefeito,RJ,RIO DE JANEIRO,PSDB,45,SERGIO DE OLIVEIRA CABRAL SANTOS FILHO,"1,055,993",Não eleito,37.83,(sem coligação),
Prefeito,RJ,SAO JOAO DE MERITI,PFL,25,ANTONIO PEREIRA ALVES DE CARVALHO,"138,810",Eleito,63.673,(sem coligação),
Prefeito,RJ,SAO JOAO DE MERITI,PSDB,45,CANDIDO PEREIRA MATTOS,"79,193",Não eleito,36.327,(sem coligação),
Prefeito,RN,NATAL,PT,13,MARIA DE FATIMA BEZERRA,"127,531",Não eleito,48.321,(sem coligação),
Prefeito,RN,NATAL,PSB,40,VILMA MARIA DE FARIA MEIRA,"136,396",Eleito,51.679,(sem coligação),
Prefeito,RS,CAXIAS DO SUL,PMDB,15,GERMANO ANTONIO RIGOTTO,"86,763",Não eleito,48.865,(sem coligação),
Prefeito,RS,CAXIAS DO SUL,PT,13,GILBERTO JOSE SPIER VARGAS,"90,792",Eleito,51.135,(sem coligação),
Prefeito,RS,PELOTAS,PT,13,FERNANDO STEPHAN MARRONI,"79,407",Não eleito,48.161,(sem coligação),
Prefeito,RS,PELOTAS,PDT,12,JOSE ANSELMO RODRIGUES,"85,472",Eleito,51.839,(sem coligação),
Prefeito,SE,ARACAJU,PT,13,ISMAEL SILVA SANTOS,"86,367",Não eleito,46.639,(sem coligação),
Prefeito,SE,ARACAJU,PMDB,15,JOAO AUGUSTO GAMA DA SILVA,"98,816",Eleito,53.361,(sem coligação),
Prefeito,SP,SOROCABA,PSDB,45,RENATO FAUVEL AMARY,"102,139",Eleito,52.407,(sem coligação),
Prefeito,SP,CAMPINAS,PSDB,45,CELIA CAMARGO LEAO EDELMUTH,"136,313",Não eleito,34.277,(sem coligação),
Prefeito,SP,CAMPINAS,PPB,11,FRANCISCO CHICO AMARAL,"261,370",Eleito,65.723,(sem coligação),
Prefeito,SP,GUARULHOS,PDT,12,NEFI TALES,"277,835",Eleito,74.183,(sem coligação),
Prefeito,SP,GUARULHOS,PPB,11,PASCHOAL THOMEU,"96,691",Não eleito,25.817,(sem coligação),
Prefeito,SP,RIBEIRAO PRETO,PSDB,45,LUIZ ROBERTO JABALI,"115,098",Eleito,50.344,(sem coligação),
Prefeito,SP,RIBEIRAO PRETO,PT,13,SERGIO ROXO DA FONSECA,"113,526",Não eleito,49.656,(sem coligação),
Prefeito,SP,SANTOS,PPB,11,PAULO ROBERTO GOMES MANSUR,"131,036",Eleito,51.444,(sem coligação),
Prefeito,SP,SANTOS,PT,13,TELMA SANDRA AUGUSTO DE SOUZA,"123,681",Não eleito,48.556,(sem coligação),
Prefeito,SP,SAO BERNARDO DO CAMPO,PFL,25,ANTONIO TITO COSTA,"108,080",Não eleito,36.825,(sem coligação),
Prefeito,SP,SAO BERNARDO DO CAMPO,PSDB,45,MAURICIO SOARES DE ALMEIDA,"185,416",Eleito,63.175,(sem coligação),
Prefeito,SP,SAO JOSE DOS CAMPOS,PSDB,45,EMANUEL FERNANDES,"137,339",Eleito,62.965,(sem coligação),
Prefeito,SP,SAO JOSE DOS CAMPOS,PMDB,15,PEDRO YVES SIMAO,"80,782",Não eleito,37.035,(sem coligação),
Prefeito,SP,SAO PAULO,PPB,11,CELSO ROBERTO PITTA DO NASCIMENTO,"3,178,330",Eleito,62.284,(sem coligação),
Prefeito,SP,SAO PAULO,PT,13,LUIZA ERUNDINA DE SOUSA,"1,924,630",Não eleito,37.716,(sem coligação),
Prefeito,MG,BELO HORIZONTE,PSB,40,CELIO DE CASTRO,"809,992",Eleito,76.503,(sem coligação),
