,Feature,Coeff
187,forest_formation,134.85178540503014
203,forest_lag,-133.87309298344857
60,n_companies_INSURANCE AND SOCIAL SECURITY,-0.21584590748083926
28,PIB,0.1768499279033676
133,n_jobs_TOTAL INDUSTRIAL,-0.1574812128404713
111,n_jobs_COMPUTING,-0.10199190128319735
73,n_companies_LEATHERS AND FOOTWEAR,-0.07960251201526122
75,n_companies_TEXTILES,0.07920778841581166
99,n_jobs_MACHINERY,0.07844985882399724
159,emiss_agropec_full,-0.061144870973583475
72,n_companies_RECYCLING,0.05983071423310431
112,n_jobs_INSURANCE AND SOCIAL SECURITY,0.054819802390299745
16,populacao,-0.04258089384314991
36,n_companies_AUTOMOBILES AND TRANSPORT,0.04070051986980258
157,emiss_pec_full,0.03910799489359726
119,n_jobs_OIL AND GAS,-0.036833453183665224
26,public_jobs,-0.03374894670992109
98,n_jobs_CLEANING AND SEWAGE,0.03343894505617363
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.03138645974633185
81,n_jobs_PUBLIC ADMIN,0.03052785235572082
127,n_jobs_TEXTILES,0.02907991713132673
138,n_jobs_TOTAL,-0.02866673445249072
62,n_companies_DOMESTIC SERVICES,0.028320976555262577
70,n_companies_WATER-BASED TRANSPORTATION,0.027912696309389938
106,n_jobs_PERSONAL SERVICES,-0.02614258810931886
123,n_jobs_REAL ESTATE,-0.02530649100865276
37,n_companies_FINANCIAL ASSISTANCE,-0.024312410650524537
50,n_companies_WOOD PROD,-0.023684173295655402
116,n_jobs_CLOTHING,0.023571729811351538
44,n_companies_ELECTRICITY AND GAS,-0.02286810282249136
24,ag_jobs,-0.020421410425410742
125,n_jobs_LEATHERS AND FOOTWEAR,0.020330904473019117
184,runnerup_partido_other,-0.01984257289571518
74,n_companies_RUBBER AND PLASTIC,0.01967832164729488
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.01882245726457192
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,-0.018595875254713477
41,n_companies_CULTURE AND SPORT,0.018511721259482215
69,n_companies_CHEMICALS,0.017824077995320643
135,n_companies_TOTAL INDUSTRIAL,0.017678075829682637
126,n_jobs_RUBBER AND PLASTIC,0.01751721485752018
71,n_companies_REAL ESTATE,0.017432589880259294
136,n_companies_TOTAL SERVICE,0.01657446197698502
27,construction_jobs,0.01625679913713316
180,runnerup_partido_PMDB_MDB,-0.01612205968088966
117,n_jobs_PAPER,0.015348119166676699
8,indigenous_homol,0.014998973035908558
113,n_jobs_METALLIC PRODUCTS,0.014913368320204942
6,near_roads,0.014864977660815997
42,n_companies_EDITING AND PRINTING,-0.0145295993779223
25,mining_jobs,0.014120465172566382
20,copper,0.013316357371967739
181,runnerup_partido_PSDB,-0.0130258550265653
115,n_jobs_FORESTRY,0.01283979725077949
1,rain1,0.012280417708604779
45,n_companies_FINANCES,0.012164952550316068
35,n_companies_ASSOCIATIVE ACTIVITIES,-0.012139951689816639
91,n_jobs_CONSTRUCTION,-0.012036030053764118
191,pasture,0.01177428800313762
121,n_jobs_CHEMICALS,0.01141286508556004
110,n_jobs_RETAIL,-0.01109279509271172
34,n_companies_WHOLESALE,0.01109273172080856
52,n_companies_HEALTH,-0.010898040015354705
95,n_jobs_EDUCATION,-0.010486145624916381
93,n_jobs_CULTURE AND SPORT,-0.010017731204023966
96,n_jobs_ELECTRICITY AND GAS,0.0098735492327668
101,n_jobs_MINING,-0.00986413009807226
55,n_companies_TRANSPORTATION,-0.009585259009407422
17,pib_pc,-0.009378142948218513
179,runnerup_partido_PT,-0.009335856550470019
29,n_companies_PUBLIC ADMIN,-0.00932702223459638
120,n_jobs_FISHING AND AQUACULTURE,-0.00841170147491856
82,n_jobs_AGRICULTURE,0.00839241147148036
94,n_jobs_EDITING AND PRINTING,0.00837088421525686
168,overall_winner_corporate_job,0.008343473327591699
182,runnerup_partido_DEM,-0.008194487413463312
85,n_jobs_EQUIPMENT RENTAL,-0.008136305775024139
188,savanna,0.00787195288528702
46,n_companies_CLEANING AND SEWAGE,0.0075769226190143
53,n_companies_SERVICES FOR COMPANIES,0.0075526378271654595
158,emiss_agr_full,-0.00749882348045758
143,expen_agri,0.0074916131483598975
105,n_jobs_SERVICES FOR COMPANIES,0.007307741606058784
155,illegal_industry,-0.007266273645629308
197,soybean,0.007239205575589139
54,n_companies_PERSONAL SERVICES,0.00714732813461694
68,n_companies_FISHING AND AQUACULTURE,-0.00709187322312788
164,overall_winner_feminino,0.006794439808935039
2,elevation,-0.006578847798532938
183,runnerup_partido_PL,-0.006403444495444199
195,mining,-0.006254527253040645
156,audits,0.00576494370708174
177,overall_winner_partido_PL,0.00575418824124192
102,n_jobs_WOOD PROD,0.00561394313186301
108,n_jobs_GROUND TRANSPORT,-0.00545906211332996
144,expen_env_man,0.0054436282652677356
31,n_companies_FOOD AND DRINKS,-0.005220291920902259
18,ironore,0.005035731948720279
43,n_companies_EDUCATION,-0.004841325954690741
174,overall_winner_partido_PMDB_MDB,0.00453895662092872
78,n_companies_SMOKE,0.0043848037044004595
165,overall_winner_agriculture_job,0.0043563264076184206
153,illegal_mining,0.004340684819265991
186,vote_participation_proportion,0.004027539519793228
129,n_jobs_AERO TRANSPORT,-0.0035866228766159255
63,n_companies_FORESTRY,-0.003511941692190275
