,Feature,Coeff
203,forest_lag,133.07784966711128
187,forest_formation,-132.3278219432462
76,n_companies_RESEARCH AND DEVELOPMENT,-0.12076411865073447
191,pasture,0.12049599984597129
159,emiss_agropec_full,0.10790683843795015
157,emiss_pec_full,-0.06991285763772807
136,n_companies_TOTAL SERVICE,-0.052938892436945696
28,PIB,0.052755428443982025
72,n_companies_RECYCLING,0.05042244956058527
138,n_jobs_TOTAL,0.043543836135122874
60,n_companies_INSURANCE AND SOCIAL SECURITY,-0.03822659632690698
112,n_jobs_INSURANCE AND SOCIAL SECURITY,-0.03666323314824546
155,illegal_industry,-0.03380123625810862
119,n_jobs_OIL AND GAS,-0.033695075353121016
82,n_jobs_AGRICULTURE,0.0310680059447223
166,overall_winner_public_service_job,0.03040380869201058
114,n_jobs_DOMESTIC SERVICES,0.030161674700099738
67,n_companies_OIL AND GAS,0.029111240949996543
133,n_jobs_TOTAL INDUSTRIAL,-0.027296390175004563
180,runnerup_partido_PMDB_MDB,0.027197813746693146
184,runnerup_partido_other,0.026146778296658724
1,rain1,-0.025909572178675323
117,n_jobs_PAPER,0.02589462230735398
84,n_jobs_ACCOMODATION AND FOOD,0.025132039147982503
8,indigenous_homol,-0.024164308476076982
175,overall_winner_partido_PSDB,0.02406686289122926
83,n_jobs_FOOD AND DRINKS,0.02161230180779378
134,n_jobs_TOTAL SERVICE,-0.02139762069800225
6,near_roads,-0.021318029419232117
160,incumbant,-0.02012868919528898
181,runnerup_partido_PSDB,0.01997094032279788
182,runnerup_partido_DEM,0.019224590311032942
115,n_jobs_FORESTRY,-0.019203228381653458
92,n_jobs_MAIL AND TELECOM,-0.018210894653744918
111,n_jobs_COMPUTING,-0.017579827327861442
35,n_companies_ASSOCIATIVE ACTIVITIES,0.017531024088893038
16,populacao,0.0173550628846185
178,overall_winner_partido_other,0.01731935081681034
100,n_jobs_BASIC METALLURGY,0.016473686519771637
30,n_companies_AGRICULTURE,-0.015871312068590278
43,n_companies_EDUCATION,0.015734694691278858
165,overall_winner_agriculture_job,0.0151760827466108
110,n_jobs_RETAIL,0.015155841041631302
75,n_companies_TEXTILES,0.014991266257619696
168,overall_winner_corporate_job,0.014875692768794361
0,year,-0.014873486662182722
167,overall_winner_health_job,0.01402179360991298
48,n_companies_BASIC METALLURGY,0.013801901230535962
44,n_companies_ELECTRICITY AND GAS,-0.013421430105517301
121,n_jobs_CHEMICALS,-0.013152522838341401
129,n_jobs_AERO TRANSPORT,0.012923414233440128
29,n_companies_PUBLIC ADMIN,0.012679441176171128
97,n_jobs_FINANCES,-0.012473896825798228
174,overall_winner_partido_PMDB_MDB,0.012445261805615062
197,soybean,-0.01192048223216896
127,n_jobs_TEXTILES,-0.011818579688012948
108,n_jobs_GROUND TRANSPORT,-0.01150998807812519
79,n_companies_PETROLEUM REFINING,0.011379623537272681
53,n_companies_SERVICES FOR COMPANIES,-0.01118526544025602
185,winner_votes_proportion,0.0110078749605348
186,vote_participation_proportion,0.010904103711105699
140,assassination,0.01060541363194926
27,construction_jobs,0.010576401051853581
156,audits,0.0100772598182634
196,water,0.010035836789030183
99,n_jobs_MACHINERY,-0.009796701500897176
137,n_companies_TOTAL,0.009749506055035821
158,emiss_agr_full,0.009700959823248279
123,n_jobs_REAL ESTATE,-0.009590668189818699
7,near_hidrovia,-0.009521600822745299
3,slope,-0.00948047994743952
90,n_jobs_TRADE REP VEHICLES,-0.00947553624601596
25,mining_jobs,0.009417951559165822
154,illegal_other,-0.009103267231187002
50,n_companies_WOOD PROD,0.0089385323844649
105,n_jobs_SERVICES FOR COMPANIES,0.008529869107763599
164,overall_winner_feminino,0.0084088375604934
147,expen_petrol,-0.008227149450989353
195,mining,0.0079066646019664
2,elevation,0.007895254902855421
199,other_crop,0.007743171507678261
5,near_mines,-0.007660666865572917
55,n_companies_TRANSPORTATION,0.007604144296762641
131,n_jobs_PETROLEUM REFINING,0.007359992483140079
102,n_jobs_WOOD PROD,-0.0072289185488995985
139,murder_threats,0.00722119608963096
171,overall_winner_professional_job,-0.00694371250219368
116,n_jobs_CLOTHING,0.0066622299771430405
95,n_jobs_EDUCATION,-0.00663015526757593
173,overall_winner_partido_PT,0.00635173670922146
162,special,0.006203587521232181
41,n_companies_CULTURE AND SPORT,-0.0062018678491617
170,overall_winner_technical_job,0.006187074020512958
81,n_jobs_PUBLIC ADMIN,-0.005947260795675747
126,n_jobs_RUBBER AND PLASTIC,-0.005888947628718144
78,n_companies_SMOKE,-0.005840810748815177
141,assassination_attempt,-0.00576837960658784
31,n_companies_FOOD AND DRINKS,-0.0051293007213020604
98,n_jobs_CLEANING AND SEWAGE,0.004700598533506439
34,n_companies_WHOLESALE,0.00466606863225652
86,n_jobs_WHOLESALE,-0.0045560595863057395
39,n_companies_CONSTRUCTION,-0.004540707691483127
148,expen_prom_ani_pro,-0.0045292157338558785
