,Feature,Coeff
0,forest_lag,0.451254935937992
1,forest_formation,0.44792578256222176
2,year,0.006797225450874659
3,n_jobs_PUBLIC ADMIN,0.004748067139132829
4,construction_jobs,0.004219977361651909
5,copper,0.0028978140302981952
6,n_jobs_CONSTRUCTION,0.002720459060037548
7,n_jobs_AGRICULTURE,0.0024996802069259427
8,silver,0.0021114781050115628
9,n_companies_AGRICULTURE,0.0019452750341908596
10,slope,0.0016943086928007589
11,n_companies_SMOKE,0.0015752686586546871
12,ag_jobs,0.0015322387304582004
13,n_jobs_CLOTHING,0.001375879639133653
14,n_jobs_LEATHERS AND FOOTWEAR,0.0013652660384433513
15,n_companies_PERSONAL SERVICES,0.0013533621739470687
16,n_jobs_FISHING AND AQUACULTURE,0.001282592994576754
17,n_companies_RETAIL,0.0012478882447646278
18,n_jobs_TEXTILES,0.0011094454400107994
19,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0010948898599653927
20,expen_agri,0.0010793656679059251
21,near_mines,0.001046740011489638
22,n_jobs_TOTAL,0.001045661721709033
23,n_jobs_WATER-BASED TRANSPORTATION,0.000967420411160705
24,n_companies_TRANSPORTATION,0.0009549537836441248
25,public_jobs,0.0009397077131565753
26,expen_other_agr,0.0008901126477901014
27,n_jobs_DOMESTIC SERVICES,0.0008664654147722316
28,n_companies_PAPER,0.0008516105847426682
29,n_jobs_SERVICES FOR COMPANIES,0.000843503617488422
30,expen_agr_org,0.0007833812933990432
31,n_companies_TOTAL INDUSTRIAL,0.0007324455016004746
32,mining_jobs,0.0007315930665148207
33,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0007240639352330062
34,n_companies_FISHING AND AQUACULTURE,0.0007097658559225361
35,n_jobs_TRADE REP VEHICLES,0.0006971726994809577
36,runnerup_partido_PSDB,0.0006964386840005495
37,populacao,0.0006649733219797364
38,n_companies_CLEANING AND SEWAGE,0.0006218179346727952
39,n_companies_ELECTRICITY AND GAS,0.0006209357496268005
40,n_jobs_ASSOCIATIVE ACTIVITIES,0.000618621567743604
41,overall_winner_corporate_job,0.0006149997700007459
