,0
0,1100015.0
1,1100023.0
2,1100031.0
3,1100049.0
4,1100056.0
5,1100064.0
6,1100072.0
7,1100080.0
8,1100098.0
9,1100106.0
10,1100114.0
11,1100122.0
12,1100130.0
13,1100148.0
14,1100155.0
15,1100189.0
16,1100205.0
17,1100254.0
18,1100262.0
19,1100288.0
20,1100296.0
21,1100304.0
22,1100320.0
23,1100338.0
24,1100346.0
25,1100379.0
26,1100403.0
27,1100452.0
28,1100502.0
29,1100601.0
30,1100700.0
31,1100809.0
32,1100908.0
33,1100924.0
34,1100940.0
35,1101005.0
36,1101104.0
37,1101203.0
38,1101302.0
39,1101401.0
40,1101435.0
41,1101450.0
42,1101468.0
43,1101476.0
44,1101484.0
45,1101492.0
46,1101500.0
47,1101559.0
48,1101609.0
49,1101708.0
50,1101757.0
51,1101807.0
52,1200013.0
53,1200054.0
54,1200104.0
55,1200138.0
56,1200179.0
57,1200203.0
58,1200252.0
59,1200302.0
60,1200328.0
61,1200336.0
62,1200344.0
63,1200351.0
64,1200385.0
65,1200393.0
66,1200401.0
67,1200427.0
68,1200435.0
69,1200450.0
70,1200500.0
71,1200609.0
72,1200708.0
73,1200807.0
74,1300029.0
75,1300060.0
76,1300086.0
77,1300102.0
78,1300144.0
79,1300201.0
80,1300300.0
81,1300409.0
82,1300508.0
83,1300607.0
84,1300631.0
85,1300680.0
86,1300706.0
87,1300805.0
88,1300839.0
89,1300904.0
90,1301001.0
91,1301100.0
92,1301159.0
93,1301209.0
94,1301308.0
95,1301407.0
96,1301506.0
97,1301605.0
98,1301654.0
99,1301704.0
100,1301803.0
101,1301852.0
102,1301902.0
103,1301951.0
104,1302009.0
105,1302108.0
106,1302207.0
107,1302306.0
108,1302405.0
109,1302504.0
110,1302553.0
111,1302603.0
112,1302702.0
113,1302801.0
114,1302900.0
115,1303007.0
116,1303106.0
117,1303205.0
118,1303304.0
119,1303403.0
120,1303502.0
121,1303536.0
122,1303569.0
123,1303601.0
124,1303700.0
125,1303809.0
126,1303908.0
127,1303957.0
128,1304005.0
129,1304062.0
130,1304104.0
131,1304203.0
132,1304237.0
133,1304260.0
134,1304302.0
135,1304401.0
136,1400027.0
137,1400050.0
138,1400100.0
139,1400159.0
140,1400175.0
141,1400209.0
142,1400233.0
143,1400282.0
144,1400308.0
145,1400407.0
146,1400456.0
147,1400472.0
148,1400506.0
149,1400605.0
150,1400704.0
151,1500107.0
152,1500131.0
153,1500206.0
154,1500305.0
155,1500347.0
156,1500404.0
157,1500503.0
158,1500602.0
159,1500701.0
160,1500800.0
161,1500859.0
162,1500909.0
163,1500958.0
164,1501006.0
165,1501105.0
166,1501204.0
167,1501253.0
168,1501303.0
169,1501402.0
170,1501451.0
171,1501576.0
172,1501600.0
173,1501709.0
174,1501725.0
175,1501758.0
176,1501782.0
177,1501808.0
178,1501907.0
179,1501956.0
180,1502004.0
181,1502103.0
182,1502152.0
183,1502202.0
184,1502301.0
185,1502400.0
186,1502509.0
187,1502608.0
188,1502707.0
189,1502756.0
190,1502764.0
191,1502772.0
192,1502806.0
193,1502855.0
194,1502905.0
195,1502939.0
196,1502954.0
197,1503002.0
198,1503044.0
199,1503077.0
200,1503093.0
201,1503101.0
202,1503200.0
203,1503309.0
204,1503457.0
205,1503507.0
206,1503606.0
207,1503705.0
208,1503754.0
209,1503804.0
210,1503903.0
211,1504000.0
212,1504059.0
213,1504109.0
214,1504208.0
215,1504307.0
216,1504406.0
217,1504422.0
218,1504455.0
219,1504505.0
220,1504604.0
221,1504703.0
222,1504802.0
223,1504901.0
224,1504950.0
225,1504976.0
226,1505007.0
227,1505031.0
228,1505064.0
229,1505106.0
230,1505205.0
231,1505304.0
232,1505403.0
233,1505437.0
234,1505486.0
235,1505494.0
236,1505502.0
237,1505536.0
238,1505551.0
239,1505601.0
240,1505635.0
241,1505650.0
242,1505700.0
243,1505809.0
244,1505908.0
245,1506005.0
246,1506112.0
247,1506138.0
248,1506161.0
249,1506187.0
250,1506195.0
251,1506302.0
252,1506351.0
253,1506401.0
254,1506500.0
255,1506559.0
256,1506583.0
257,1506609.0
258,1506708.0
259,1506807.0
260,1506906.0
261,1507003.0
262,1507102.0
263,1507151.0
264,1507201.0
265,1507300.0
266,1507409.0
267,1507458.0
268,1507474.0
269,1507508.0
270,1507607.0
271,1507706.0
272,1507755.0
273,1507805.0
274,1507904.0
275,1507953.0
276,1507961.0
277,1507979.0
278,1508001.0
279,1508035.0
280,1508050.0
281,1508084.0
282,1508100.0
283,1508126.0
284,1508159.0
285,1508308.0
286,1508357.0
287,1508407.0
288,1600055.0
289,1600105.0
290,1600154.0
291,1600204.0
292,1600212.0
293,1600238.0
294,1600253.0
295,1600279.0
296,1600303.0
297,1600402.0
298,1600501.0
299,1600535.0
300,1600550.0
